review_score,full_text
0.5,produto agradando americanas produto pode bom porem americanas inspira muita confianca americanas si pois sempre empresa seria ultima compra efetuei americanas colocou cuidados direct causaram muitos problemas entregar produto ocasiao era celular precisei acionar reclame aqui ajudar foi facil gostaria comprar produto kit cuecas boxer cotton polo match porem sei problemas novamente complicado
1.0,compra susto aparelho bom confiavel valor aquisitivo conta tudo massa precisa
0.0,cores impressao fieis custo beneficio vale pena
0.5,historia boa porem autor enrolou pouco meio livro
1.0,entrega rapida produto bom amei praticidade
1.0,gostei bastante produto recomendo entrega foi antes prazo
0.5,produto otimo so falta carregador maquina pequena
1.0,recomendo aparelhos motorola bons
0.0,protecao anti queda boa cair frente tela era
0.0,entrega demorada caixa veio toda amassada
0.5,ameiii produto pena veio espelho quebrado
1.0,bom
0.5,bom produto nenhum amassado coisa genero unico problema foi entrega foi enrolada rapaz entregou perdeu cidade
0.0,trava nada demora carregar
1.0,gostei preco bem conta recomendo
0.5,tamanho refrigerador embalagem capacidade freezer
0.5,quero saber chegara pois gostaria comprar
0.5,quero saber chegara reposicao pois quero comprar
0.5,medio principio pareceu perfeito capinha plastico otima mas pelicula boa bolha foi constatada antes colocada loja onde levei realizar processo aplicacao pessoa habilitada felizmente bolha meio tela mas assim achei ideal foi desejei
0.0,quero resposta plausivel aquece rapido minutos uso ai liga somente outro dia ai podemos fazer
1.0,uitod lindas leve maravilhosa lindas confortavel leves lindas amei super recomendo
0.0,bom dia mandaram produto escolhi mandaram outro completamente diferente inclusive devolvi esperando loja receber fazer estorno cartao mandaram mercadoria completamente diferente escolhi
0.0,zero empresa dias ainda recebi produto dias faturado vou cancelar nao chegar ate amanha quero dinheiro volta china chegado antes diferenca barato
0.0,mes comprei agora nada pessima entrega atraso total recomendo ninguem
0.0,chegou atraso tamanho bate modelo cm chegou cm ainda mas faltando peca
1.0,esposa gostou satisfeita produto bom recomendo
0.5,melhores filme bom porem virando moda dar sequencias outros atores roteiro nexo produtores deveriam repensar estrategias
0.5,porta so ficou pegando fechar nao sei foi motivo montagem bom espacoso
1.0,aparelho bom entrega antes prazo gostei
